unix_time,delta_value
1682334051,1
1682334052,0
1682334053,1720435
1682334054,65646
1682334055,981113
1682334056,120665
1682334057,217640
1682334058,9665
1682334059,52643
1682334060,326500
1682334061,12767
1682334062,15031
1682334063,547653
1682334064,42237
1682334065,677092
1682334066,681089
1682334067,1227381
1682334068,1973947
1682334069,674609
1682334070,536760
1682334071,252557
1682334072,1641493
1682334073,1177489
1682334074,1059434
1682334075,130630
1682334076,1376203
1682334077,34630
1682334078,33418
1682334079,747934
1682334080,93557
1682334081,92765
1682334082,71183
1682334083,1145538
1682334084,442831
1682334085,1096295
1682334086,819638
1682334087,172279
1682334088,89838
1682334089,578283
1682334090,142778
1682334091,35750
1682334092,40140
1682334093,71752
1682334094,32085
1682334095,808148
1682334096,1589520
1682334097,521148
1682334098,198074
1682334099,945392
1682334100,1134252
1682334101,725634
1682334102,3445712
1682334103,125681
1682334104,115502
1682334105,1889058
1682334106,598637
1682334107,1112994
1682334108,648039
