unix_time,highAlpha_value
1682334053,91774
1682334054,2798
1682334055,35543
1682334056,18586
1682334057,17681
1682334058,2351
1682334059,40379
1682334060,11336
1682334061,24290
1682334062,6479
1682334063,62972
1682334064,39306
1682334065,27551
1682334066,63696
1682334067,24513
1682334068,86855
1682334069,3724
1682334070,17303
1682334071,6501
1682334072,31876
1682334073,16096
1682334074,48794
1682334075,3366
1682334076,14799
1682334077,3424
1682334078,19253
1682334079,13149
1682334080,9900
1682334081,30312
1682334082,3902
1682334083,42462
1682334084,52061
1682334085,13435
1682334086,36230
1682334087,23023
1682334088,40137
1682334089,54421
1682334090,56489
1682334091,25145
1682334092,38060
1682334093,38535
1682334094,10180
1682334095,85420
1682334096,44286
1682334097,24323
1682334098,5880
1682334099,85904
1682334100,68468
1682334101,61719
1682334102,266274
1682334103,5805
1682334104,10386
1682334105,53329
1682334106,54761
1682334107,11115
1682334108,18415
