unix_time,highBeta_value
1682333331,1
1682333332,44813
1682333333,18607
1682333334,25786
1682333335,4378
1682333336,11744
1682333337,14969
1682333338,22783
1682333339,14174
1682333340,4238
1682333341,4017
1682333342,31646
1682333343,14255
1682333344,26690
1682333345,12323
1682333346,102583
1682333347,11725
1682333348,40169
1682333349,7629
1682333350,19924
1682333351,17724
1682333352,10338
1682333353,7736
1682333354,5544
1682333355,40992
1682333356,5608
1682333357,11177
1682333358,17440
1682333359,4082
