unix_time,lowAlpha_value
1682334053,221782
1682334054,5978
1682334055,17111
1682334056,97826
1682334057,63548
1682334058,1281
1682334059,62359
1682334060,19579
1682334061,74445
1682334062,58144
1682334063,120200
1682334064,22289
1682334065,6116
1682334066,74486
1682334067,16642
1682334068,510849
1682334069,1407
1682334070,393
1682334071,3378
1682334072,94355
1682334073,14209
1682334074,29401
1682334075,10503
1682334076,73008
1682334077,4302
1682334078,13227
1682334079,364
1682334080,3260
1682334081,20217
1682334082,924
1682334083,109864
1682334084,26759
1682334085,4197
1682334086,21786
1682334087,106035
1682334088,63463
1682334089,70119
1682334090,64560
1682334091,39161
1682334092,31819
1682334093,59068
1682334094,23666
1682334095,16527
1682334096,73819
1682334097,59148
1682334098,9329
1682334099,109698
1682334100,26530
1682334101,44496
1682334102,231598
1682334103,3536
1682334104,17388
1682334105,45630
1682334106,105248
1682334107,3685
1682334108,10078
