unix_time,midGamma_value
1682334053,25056
1682334054,1169
1682334055,5477
1682334056,3158
1682334057,4530
1682334058,230
1682334059,14691
1682334060,7823
1682334061,3449
1682334062,3706
1682334063,8669
1682334064,32344
1682334065,8126
1682334066,39908
1682334067,1877
1682334068,19316
1682334069,549
1682334070,3545
1682334071,3499
1682334072,38953
1682334073,49131
1682334074,13204
1682334075,2731
1682334076,10067
1682334077,1918
1682334078,7926
1682334079,1562
1682334080,1276
1682334081,13391
1682334082,3117
1682334083,23963
1682334084,4972
1682334085,2900
1682334086,10170
1682334087,15643
1682334088,5677
1682334089,5455
1682334090,7512
1682334091,8758
1682334092,4433
1682334093,5475
1682334094,5866
1682334095,9325
1682334096,11845
1682334097,17453
1682334098,3124
1682334099,10806
1682334100,62150
1682334101,15874
1682334102,47628
1682334103,1006
1682334104,8210
1682334105,35628
1682334106,34476
1682334107,3868
1682334108,9794
