unix_time,theta_value
1682333332,444927
1682333333,17640
1682333334,32968
1682333335,29939
1682333336,48531
1682333337,103221
1682333338,42045
1682333339,59153
1682333340,16087
1682333341,35240
1682333342,354200
1682333343,11070
1682333344,200977
1682333345,357213
1682333346,160340
1682333347,62915
1682333348,87831
1682333349,20005
1682333350,26212
1682333351,86749
1682333352,62846
1682333353,33475
1682333354,10677
1682333355,124381
1682333356,13485
1682333357,213716
1682333358,92467
1682333359,8366
